names,scores,logfoldchanges,pvals,pvals_adj,rank
Rnf14,22.956533,-8.169967,1.2679254374707823e-116,6.858178786008096e-116,977
Tnfrsf1a,15.061641,-8.1856575,2.8951208770650107e-51,1.0495035334124096e-50,978
Or4k6,8.9565735,-8.232518,3.349245968255852e-19,9.155484205088702e-19,979
Il18r1,-8.935271,-8.24269,4.0617985863572417e-19,1.109561054797553e-18,980
Tpra1,6.180228,-8.364784,6.40089557408147e-10,1.528926629137207e-09,981
Smad3,3.0021038,-8.421875,0.002681206950651,0.0053581040085726,982
Angptl1,8.283747,-8.4709,1.1935893315504204e-16,3.1561371992110694e-16,983
Lrpap1,13.580059,-8.483258,5.2584305827999555e-42,1.770878083779837e-41,984
Trp53,18.76367,-8.520686,1.4969690357159686e-78,6.505962390551407e-78,985
Lrg1,-2.8607428,-8.583382,0.0042264988894372,0.008362017779328,986
Lancl1,17.126682,-8.732294,9.385559233663713e-66,3.750571724892075e-65,987
Hr,-7.048337,-8.835996,1.810686572620393e-12,4.515437872874398e-12,988
Vmn2r27,12.832234,-8.993593,1.0819763619570352e-37,3.5183595327350125e-37,989
Vmn1r218,4.718368,-9.104584,2.37744321209926e-06,5.264115683632979e-06,990
Stx8,23.057081,-9.109029,1.2489900272283154e-117,6.793090820437495e-117,991
Btnl9,-2.3460073,-9.20794,0.0189757330474528,0.036132671528729,992
Cct6a,11.982961,-9.213894,4.36452684086397e-33,1.3662137358606918e-32,993
Il12a,-8.004648,-9.21791,1.198084179272299e-15,3.1312177913909026e-15,994
Bag6,20.237303,-9.236059,4.5963689588096834e-91,2.148215891888475e-90,995
H2-Q7,10.64919,-9.257226,1.758887313288283e-26,5.182322218683115e-26,996
Atp6ap2,18.094234,-9.331557,3.5382255447838253e-73,1.4836929805314884e-72,997
Kctd12b,3.2448173,-9.366715,0.0011752605445056,0.0023876175558413,998
Med4,18.263153,-9.387465,1.626238538004278e-74,6.8804192201681985e-74,999
Eps8,13.778057,-9.479177,3.4544639309496444e-43,1.1752541050404949e-42,1000
Pxn,8.201323,-9.516948,2.377567784531852e-16,6.260230591731901e-16,1001
Or6c205,7.847463,-9.582864,4.245369010538698e-15,1.1007668649608627e-14,1002
Ano1,-8.645866,-9.591994,5.3398510410105485e-18,1.4364266192883518e-17,1003
Il11ra2,-12.361188,-9.645379,4.2384492355974273e-35,1.3478245745025152e-34,1004
Flot1,18.85727,-9.957095,2.561145017055248e-79,1.117620662254979e-78,1005
Il18,-7.581268,-9.9898815,3.421942897745753e-14,8.74212775120619e-14,1006
