ensembl_id,gene_symbol,importance
ENSG00000269859,ZNF628-DT,0.0
ENSG00000108107,RPL28,0.0
ENSG00000095752,IL11,0.0
ENSG00000276831,ENSG00000276831,0.0
ENSG00000131037,EPS8L1,0.0
ENSG00000167633,KIR3DL1,0.0
ENSG00000244482,LILRA6,0.0
ENSG00000170889,RPS9,0.0
ENSG00000130433,CACNG6,0.0
ENSG00000126583,PRKCG,0.0
ENSG00000187474,FPR3,0.0
ENSG00000105392,CRX,0.0
ENSG00000105509,HAS1,0.0
ENSG00000262874,C19orf84,0.0
ENSG00000167751,KLK2,0.0
ENSG00000161652,IZUMO2,0.0
ENSG00000268047,ENSG00000268047,0.0
ENSG00000224420,ADM5,0.0
ENSG00000142541,RPL13A,0.0
ENSG00000104826,LHB,0.0
ENSG00000087086,FTL,0.0
ENSG00000063177,RPL18,0.0
ENSG00000105479,ODAD1,0.0
ENSG00000105398,SULT2A1,0.0
ENSG00000226043,ENSG00000226043,0.0
ENSG00000224018,ENSG00000224018,0.0
ENSG00000105640,RPL18A,0.0
ENSG00000196468,FGF16,0.0
ENSG00000229807,XIST,0.0
ENSG00000270641,TSIX,0.0
ENSG00000198034,RPS4X,0.0
ENSG00000283599,ENSG00000283599,0.0
ENSG00000147127,RAB41,0.0
ENSG00000186912,P2RY4,0.0
ENSG00000158813,EDA,0.0
ENSG00000234068,PAGE2,0.0
ENSG00000238269,PAGE2B,0.0
ENSG00000187754,SSX7,0.0
ENSG00000237341,SYP-AS1,0.0
ENSG00000102145,GATA1,0.0
ENSG00000224294,PINCR,0.0
ENSG00000287098,ENSG00000287098,0.0
ENSG00000259977,ENSG00000259977,0.0
ENSG00000233928,ENSG00000233928,0.0
ENSG00000120280,TASL,0.0
ENSG00000169306,IL1RAPL1,0.0
ENSG00000189186,DCAF8L2,0.0
ENSG00000236836,PCYT1B-AS1,0.0
ENSG00000165186,PTCHD1,0.0
ENSG00000225882,LINC01456,0.0
ENSG00000126010,GRPR,0.0
ENSG00000205542,TMSB4X,0.0
ENSG00000196664,TLR7,0.0
ENSG00000169933,FRMPD4,0.0
ENSG00000234129,HCCS-DT,0.0
ENSG00000186675,MAGEE2,0.0
ENSG00000165194,PCDH19,0.0
ENSG00000232512,ENSG00000232512,0.0
ENSG00000007952,NOX1,0.0
ENSG00000223641,TTTY17C,0.0
ENSG00000224075,TTTY22,0.0
ENSG00000286050,ENSG00000286050,0.0
ENSG00000124334,IL9R,0.0
ENSG00000155961,RAB39B,0.0
ENSG00000147403,RPL10,0.0
ENSG00000102076,OPN1LW,0.0
ENSG00000067840,PDZD4,0.0
ENSG00000067842,ATP2B3,0.0
ENSG00000225110,PNMA6F,0.0
